,total reward,targets hit
565,180538.54378826098,4
566,238355.50601313423,4
567,406638.75629292545,6
568,487284.20068114274,6
569,289862.2138998001,5
570,232451.40000483103,5
571,186600.15892615085,4
572,228832.87868646957,4
573,252620.54856597143,5
574,391972.3217313536,5
575,238210.3807954622,4
576,163505.38955929375,4
577,304179.7354179117,5
578,512545.3753237268,6
579,315831.0653673976,5
580,263753.28281363833,5
581,301784.5180817718,5
582,201742.64761258592,4
583,264004.3811174546,5
584,359531.8387026247,5
585,422253.321089703,6
586,224929.6835225008,5
587,120844.26613963491,3
588,254163.38073356973,5
589,232270.71606153797,4
590,340781.1580936245,5
591,319083.13330147153,5
592,180651.7749610017,5
593,352927.5209405881,5
594,348791.92690845823,5
595,215864.5128878327,5
596,307638.22693419585,5
597,368342.6043892476,6
598,112343.07512655735,3
599,210099.1109562453,4
600,529036.4134256851,7
601,237372.07680329963,4
602,129633.93700908651,3
603,122558.26330499043,3
604,223245.40808644894,4
605,126274.8876643276,3
606,242235.37461927516,5
607,233836.6456509131,5
608,235470.81940796785,5
609,551776.9965552378,6
610,425647.32246250194,6
611,217084.25971331267,4
612,268363.2328586625,5
613,433607.3788696493,5
614,162482.4249263165,4
615,347089.1772190456,5
616,332305.869669821,5
617,205111.4985670558,4
618,205615.4370073985,4
619,429769.8696048802,6
620,519121.00419836276,6
621,124546.247944024,3
622,128038.030229112,3
623,249468.69805101297,5
624,346946.14036157203,6
625,578296.2112337728,7
626,223566.1974748567,4
627,323919.98035503447,6
628,236798.129560532,4
629,115064.8755138526,3
630,411340.087760755,6
631,168600.29017911945,4
632,321317.49008044036,5
633,233249.60291278266,5
634,272412.01331751497,5
635,442380.25264692237,6
636,401735.58586166066,6
637,175141.066681846,4
638,307314.8537138265,5
639,266006.8981483418,5
640,207578.67798569496,4
641,257213.9018498523,4
642,404741.2414457685,6
643,256899.04053916276,5
644,168446.3125759224,4
645,293636.09449575224,5
646,509194.0569780837,6
647,298131.6120283507,5
648,489967.3514631163,6
649,415222.34762457886,5
650,385555.162103394,5
651,314085.22646345245,5
652,247255.86176374202,5
